Sample ID,Sample Date,Beach Name,Sample Location,Enterococci Results,Units or Notes
090909IM12,2009-09-09,DANISH AMERICAN BEACH CLUB,Right,12,MPN/100 ml
090407BH13,2007-09-04,CONEY ISLAND WEST 16TH - WEST 27TH,Center,4,MPN/100 ml
050310KB09,2010-05-03,MIDLAND BEACH,Right,92,MPN/100 ml
050508BH10,2008-05-05,SOUTH BEACH,Left,28,MPN/100 ml
092109GR04,2009-09-21,MORRIS YACHT AND BEACH CLUB,Left,4,MPN/100 ml
080410GR10,2010-08-04,ROCKAWAY BEACH 9TH - 13TH,Center,8,MPN/100 ml
082813CP02,2013-08-28,ROCKAWAY BEACH 15TH - 22TH,Center,8,MPN/100 ml
072312GR16,2012-07-23,SCHUYLER HILL CIVIC ASSOCIATION,Left,8,MPN/100 ml
082913KB06,2013-08-29,BEECHHURST PROPERTY OWNERS ASSOCIATION,Right,28,MPN/100 ml
080414GR15,2014-08-04,SEAGATE BEACH - 38TH STREET,Center,8,MPN/100 ml
071409IM12,2009-07-14,DANISH AMERICAN BEACH CLUB,Right,8,MPN/100 ml
082012KB13,2012-08-20,MORRIS YACHT AND BEACH CLUB,Left,4,MPN/100 ml
071708IM02,2008-07-17,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Center,4,MPN/100 ml
062909SG06,2009-06-29,MIDLAND BEACH,Left,4,MPN/100 ml
090412KB05,2012-09-04,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Center,24,MPN/100 ml
072413GR27,2013-07-24,MANHEM BEACH CLUB,Center,16,MPN/100 ml
080910GR07,2010-08-09,KINGSBOROUGH COMMUNITY COLLEGE,Left,52,MPN/100 ml
050614KB04,2014-05-06,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,4,MPN/100 ml
070810GR04,2010-07-08,ROCKAWAY BEACH 116TH - 126TH,Center,36,MPN/100 ml
070212GR11,2012-07-02,CONEY ISLAND BR. 6TH - OCEAN PKWY,Center,8,MPN/100 ml
062512GR09,2012-06-25,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Right,52,MPN/100 ml
080613GR09,2013-08-06,AMERICAN TURNERS,Right,4,MPN/100 ml
090705BH19,2005-09-07,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Right,8,MPN/100 ml
062209KB09,2009-06-22,MIDLAND BEACH,Right,24,MPN/100 ml
051005TM16,2005-05-10,WHITE CROSS FISHING CLUB,Left,10,MPN/100 ml
090606BH07,2006-09-06,MANHEM BEACH CLUB,Left,36,MPN/100 ml
070113KB13,2013-07-01,SOUTH BEACH,Left,4,MPN/100 ml
090111KB01,2011-09-01,SOUTH BEACH,Left,130,MPN/100 ml
090810GR06,2010-09-08,WHITE CROSS FISHING CLUB,Right,8,MPN/100 ml
042015GR04,2015-04-20,MANHATTAN BEACH,Left,20,MPN/100 ml
042913GR04,2013-04-29,MANHATTAN BEACH,Left,4,MPN/100 ml
080415GR15,2015-08-04,MANHEM BEACH CLUB,Right,20,MPN/100 ml
051407EL15,2007-05-14,SEAGATE BEACH - 42ND STREET,Center,4,MPN/100 ml
052411SG17,2011-05-24,SCHUYLER HILL CIVIC ASSOCIATION,Center,4,MPN/100 ml
080105SI05,2005-08-01,MIDLAND BEACH,Center,4,MPN/100 ml
050205BH11,2005-05-02,CONEY ISLAND WEST 16TH - WEST 27TH,Center,9.9,MPN/100 ml
080116IM06,2016-08-01,MANHATTAN BEACH,Right,64,MPN/100 ml
062612GR11,2012-06-26,CONEY ISLAND BR. 6TH - OCEAN PKWY,Center,4,MPN/100 ml
082514CP04,2014-08-25,SI YMCA OF GREATER NEW YORK,Center,4,MPN/100 ml
